,2023-01-05 11:00:00,2023-01-05 12:00:00
101,16.6,9.4
102,16.6,9.4
103,16.6,9.4
104,16.6,9.4
105,16.6,9.4
106,16.6,9.4
107,16.6,9.4
108,16.6,9.4
109,16.6,9.4
110,16.6,9.4
111,16.6,9.4
112,16.6,9.4
113,16.6,9.4
114,16.6,9.4
115,16.6,9.4
116,16.6,9.4
117,16.6,9.4
118,16.6,9.4
119,16.6,9.4
120,16.6,9.4
121,16.6,9.4
122,16.6,9.4
123,16.6,9.4
124,16.6,9.4
125,16.6,9.4
126,16.6,9.4
127,16.6,9.4
128,16.6,9.4
129,16.6,9.4
130,16.6,9.4
131,16.6,9.4
132,16.6,9.4
133,16.6,9.4
134,16.6,9.4
135,16.6,9.4
136,16.6,9.4
137,16.6,9.4
138,16.6,9.4
139,16.6,9.4
140,16.6,9.4
141,16.6,9.4
142,16.6,9.4
143,16.6,9.4
144,16.6,9.4
145,16.6,9.4
146,16.6,9.4
147,16.6,9.4
148,16.6,9.4
149,16.6,9.4
150,16.6,9.4
151,16.6,9.4
152,16.6,9.4
153,16.6,9.4
154,16.6,9.4
155,16.6,9.4
156,16.6,9.4
157,16.6,9.4
158,16.6,9.4
159,16.6,9.4
160,16.6,9.4
161,16.6,9.4
162,16.6,9.4
163,16.6,9.4
164,16.6,9.4
165,16.6,9.4
166,16.6,9.4
167,16.6,9.4
168,16.6,9.4
169,16.6,9.4
170,16.6,9.4
171,16.6,9.4
172,16.6,9.4
173,16.6,9.4
174,16.6,9.4
175,16.6,9.4
176,16.6,9.4
177,16.6,9.4
178,16.6,9.4
179,16.6,9.4
180,16.6,9.4
181,16.6,9.4
182,16.6,9.4
183,16.6,9.4
184,16.6,9.4
185,16.6,9.4
186,16.6,9.4
187,16.6,9.4
188,16.6,9.4
189,16.6,9.4
190,16.6,9.4
191,16.6,9.4
192,16.6,9.4
193,16.6,9.4
194,16.6,9.4
195,16.6,9.4
196,16.6,9.4
197,16.6,9.4
198,16.6,9.4
199,16.6,9.4
200,16.6,9.4
201,16.6,9.4
202,16.6,9.4
203,16.6,9.4
204,16.6,9.4
205,16.6,9.4
206,16.6,9.4
207,16.6,9.4
208,16.6,9.4
209,16.6,9.4
210,16.6,9.4
211,16.6,9.4
212,16.6,9.4
213,16.6,9.4
214,16.6,9.4
215,16.6,9.4
216,16.6,9.4
217,16.6,9.4
218,16.6,9.4
219,16.6,9.4
220,16.6,9.4
221,22.0,13.0
222,16.6,9.4
223,16.6,9.4
224,16.6,9.4
225,16.6,9.4
226,16.6,9.4
227,16.6,9.4
228,16.6,9.4
229,16.6,9.4
230,16.6,9.4
231,16.6,9.4
232,16.6,9.4
233,16.6,9.4
234,16.6,9.4
235,16.6,9.4
236,16.6,9.4
237,16.6,9.4
238,16.6,9.4
239,16.6,9.4
240,16.6,9.4
241,22.0,13.0
242,16.6,9.4
243,16.6,9.4
244,16.6,9.4
245,16.6,9.4
246,16.6,9.4
247,16.6,9.4
248,16.6,9.4
249,16.6,9.4
250,16.6,9.4
251,16.6,9.4
252,16.6,9.4
253,16.6,9.4
254,16.6,9.4
255,16.6,9.4
256,16.6,9.4
257,16.6,9.4
258,16.6,9.4
259,16.6,9.4
260,16.6,9.4
261,16.6,9.4
262,16.6,9.4
263,16.6,9.4
264,16.6,9.4
265,16.6,9.4
266,16.6,9.4
267,16.6,9.4
268,16.6,9.4
269,16.6,9.4
270,16.6,9.4
271,16.6,9.4
272,16.6,9.4
273,16.6,9.4
274,16.6,9.4
275,22.0,13.0
276,22.0,13.0
277,22.0,13.0
278,22.0,13.0
279,22.0,13.0
280,22.0,13.0
281,22.0,13.0
282,22.0,13.0
283,22.0,13.0
284,22.0,13.0
285,22.0,13.0
286,22.0,13.0
287,22.0,13.0
288,22.0,13.0
289,22.0,13.0
290,22.0,13.0
291,22.0,13.0
292,22.0,13.0
293,22.0,13.0
294,22.0,13.0
295,22.0,13.0
296,22.0,13.0
297,22.0,13.0
298,22.0,13.0
299,22.0,13.0
300,22.0,13.0
301,22.0,13.0
302,22.0,13.0
303,22.0,13.0
304,22.0,13.0
305,16.6,9.4
306,16.6,9.4
307,16.6,9.4
308,16.6,9.4
309,16.6,9.4
310,16.6,9.4
311,16.6,9.4
312,16.6,9.4
313,16.6,9.4
314,16.6,9.4
315,16.6,9.4
316,16.6,9.4
317,16.6,9.4
318,16.6,9.4
319,16.6,9.4
320,16.6,9.4
321,16.6,9.4
322,22.0,13.0
323,22.0,13.0
324,22.0,13.0
325,22.0,13.0
326,22.0,13.0
327,22.0,13.0
328,22.0,13.0
329,22.0,13.0
330,22.0,13.0
331,22.0,13.0
332,22.0,13.0
333,22.0,13.0
334,22.0,13.0
335,22.0,13.0
336,22.0,13.0
337,22.0,13.0
338,22.0,13.0
339,22.0,13.0
340,22.0,13.0
341,22.0,13.0
342,22.0,13.0
343,22.0,13.0
344,22.0,13.0
345,16.6,9.4
346,16.6,9.4
347,16.6,9.4
348,22.0,13.0
349,22.0,13.0
350,22.0,13.0
351,22.0,13.0
352,22.0,13.0
353,22.0,13.0
354,22.0,13.0
355,22.0,13.0
356,22.0,13.0
357,22.0,13.0
